player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
Clifton McNeeley,1947,1,1,1,Draft,1610610031,Pittsburgh,Ironmen,PIT,Texas-El Paso,College/University,0
Glen Selbo,1947,1,2,2,Draft,1610610035,Toronto,Huskies,HUS,Wisconsin,College/University,1
Eddie Ehlers,1947,1,3,3,Draft,1610612738,Boston,Celtics,BOS,Purdue,College/University,1
Walt Dropo,1947,1,4,4,Draft,1610610032,Providence,Steamrollers,PRO,Connecticut,College/University,0
Dick Holub,1947,1,5,5,Draft,1610612752,New York,Knicks,NYK,Long Island-Brooklyn,College/University,1
Francis Crossin,1947,1,6,6,Draft,1610612744,Philadelphia,Warriors,PHW,Pennsylvania,College/University,1
Jack Underman,1947,1,7,7,Draft,1610610034,St. Louis,Bombers,BOM,Ohio State,College/University,0
Paul Huston,1947,1,8,8,Draft,1610610025,Chicago,Stags,CHS,Ohio State,College/University,1
Dick O'Keefe,1947,1,9,9,Draft,1610610036,Washington,Capitols,WAS,Santa Clara,College/University,1
Larry Killick,1947,1,10,10,Draft,1610610024,Baltimore,Bullets,BAL,Vermont,College/University,0
Wimpy Quinn,1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,Oregon,College/University,0
Bill Burke,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,St. Mary's (MD),College/University,0
Abel Rodriguez,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,San Francisco,College/University,0
Robert Bolyard,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Toledo,College/University,0
Scotty Hamilton,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,West Virginia,College/University,0
Hugh Hampton,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,High Point,College/University,0
Bob Jake,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Vermont,College/University,0
Charles Raynor,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Houston,College/University,0
John Rusinko,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Penn State,College/University,0
Ben Schadler,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Northwestern,College/University,1
Donald Smith,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Minnesota,College/University,1
Gene Stump,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,DePaul,College/University,1
John Mandic,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Oregon State,College/University,1
Saul Mariaschin,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Harvard,College/University,1
Wat Misaka,1947,0,0,0,Draft,1610612752,New York,Knicks,NYK,Utah,College/University,1
Fred Nagy,1947,0,0,0,Draft,1610610031,Pittsburgh,Ironmen,PIT,Akron,College/University,1
Paul Napolitano,1947,0,0,0,Draft,1610610034,St. Louis,Bombers,BOM,San Francisco,College/University,1
Jack Tingle,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Kentucky,College/University,1
Gene Vance,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Illinois,College/University,1
Andy Phillip,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Illinois,College/University,1
Jim Pollard,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Stanford,College/University,1
Joseph Reiser,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,New York University,College/University,1
Red Rocha,1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,Oregon State,College/University,1
Irv Rothenberg,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Long Island-Brooklyn,College/University,1
Paul Cloyd,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Wisconsin,College/University,1
Jimmy Darden,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Denver,College/University,1
Andy Duncan,1947,0,0,0,Draft,1610612752,New York,Knicks,NYK,William & Mary,College/University,1
Johnny Ezersky,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Rhode Island,College/University,1
Elmer R. Gainer,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,DePaul,College/University,1
Harry Gallatin,1947,0,0,0,Draft,1610610024,Baltimore,Bullets,BAL,Truman State,College/University,1
Frank Broyles,1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,Georgia Tech,College/University,0
Herb Wilkinson,1947,0,0,0,Draft,1610610034,St. Louis,Bombers,BOM,Iowa,College/University,0
"Bear, The Body Hoffman",1947,0,0,0,Draft,1610610035,Toronto,Huskies,HUS,Purdue,College/University,1
Bob Hubbard,1947,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,Springfield,College/University,1
Matt Zunic,1947,0,0,0,Draft,1610610036,Washington,Capitols,WAS,George Washington,College/University,1
Bob Alemeida,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,,,0
George Felt,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Northwestern,College/University,0
John Kelly,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Notre Dame,College/University,0
George Petrovick,1947,0,0,0,Draft,1610612738,Boston,Celtics,BOS,,,0
Ralph Bishop,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Washington,College/University,0
Hank Decker,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,West Texas A&M,College/University,0
Jack Stone,1947,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Kansas State,College/University,0
Ray Evans,1947,0,0,0,Draft,1610612752,New York,Knicks,NYK,Kansas,College/University,0
Ed Golub,1947,0,0,0,Draft,1610612752,New York,Knicks,NYK,,,0
Garland Head,1947,0,0,0,Draft,1610612752,New York,Knicks,NYK,Texas Tech,College/University,0
